0	7
2	43
4	82
6	117
8	155
10	204
12	241
14	277
16	316
18	352
20	389
22	424
24	451
26	474
28	497
30	516
32	537
34	554
36	570
38	583
40	597
42	610
44	619
46	630
48	639
50	649
50	649
48	639
46	630
44	619
42	610
40	595
38	584
36	570
34	555
32	538
30	521
28	502
26	481
24	457
22	432
20	398
18	362
16	326
14	289
12	248
10	202
8	168
6	127
4	83
2	47
0	8
