RD	100000
1.3137E+006	2.0530E+002
1.2936E+006	2.5350E+003
6.9654E+004	8.4191E+002
RD	600000
1.6028E+006	1.8645E+003
1.2892E+006	4.7263E+003
3.4044E+005	1.8767E+003
RD	1100000
1.6001E+006	4.4002E+003
1.2948E+006	3.6307E+003
5.6478E+005	2.1638E+003
RD	1600000
1.5936E+006	2.5130E+003
1.2848E+006	3.9469E+003
7.5931E+005	7.3756E+002
RD	2000000
1.5339E+006	2.7911E+003
1.2460E+006	4.0344E+003
8.3927E+005	8.5173E+002
