ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"12:06:00"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      33.55561
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  6.25433E-001
  4.00000E-004	  6.16963E-001
  6.00000E-004	  6.03654E-001
  8.00000E-004	  5.75824E-001
  1.00000E-003	  5.87319E-001
  1.20000E-003	  5.82479E-001
  1.40000E-003	  5.52684E-001
  1.60000E-003	  5.72497E-001
  1.80000E-003	  5.72195E-001
  2.00000E-003	  5.61154E-001
  2.20000E-003	  5.61910E-001
  2.40000E-003	  5.70833E-001
  2.60000E-003	  5.73404E-001
  2.80000E-003	  5.79606E-001
  3.00000E-003	  5.63422E-001
  3.20000E-003	  5.56393E-001
  3.60000E-003	  5.79609E-001
  4.00000E-003	  5.63123E-001
  4.40000E-003	  5.60552E-001
  4.80000E-003	  5.62820E-001
  5.20000E-003	  5.33857E-001
  5.60000E-003	  5.66072E-001
  6.00000E-003	  5.64030E-001
  6.40000E-003	  5.52462E-001
  7.20000E-003	  5.61045E-001
  8.00000E-003	  5.59646E-001
  8.80000E-003	  5.55146E-001
  9.60000E-003	  5.39228E-001
  1.04000E-002	  5.51214E-001
  1.12000E-002	  5.53672E-001
  1.20000E-002	  5.52084E-001
  1.28000E-002	  5.43786E-001
  1.44000E-002	  5.48947E-001
  1.60000E-002	  5.36507E-001
  1.76000E-002	  5.38511E-001
  1.92000E-002	  5.33350E-001
  2.08000E-002	  5.41857E-001
  2.24000E-002	  5.38794E-001
  2.40000E-002	  5.37414E-001
  2.56000E-002	  5.26795E-001
  2.88000E-002	  5.26332E-001
  3.20000E-002	  5.24894E-001
  3.52000E-002	  5.14514E-001
  3.84000E-002	  5.09627E-001
  4.16000E-002	  5.10157E-001
  4.48000E-002	  5.03425E-001
  4.80000E-002	  5.05835E-001
  5.12000E-002	  4.97174E-001
  5.76000E-002	  4.87316E-001
  6.40000E-002	  4.82967E-001
  7.04000E-002	  4.75211E-001
  7.68000E-002	  4.64113E-001
  8.32000E-002	  4.51195E-001
  8.96000E-002	  4.50021E-001
  9.60000E-002	  4.42591E-001
  1.02400E-001	  4.38049E-001
  1.15200E-001	  4.22861E-001
  1.28000E-001	  4.05691E-001
  1.40800E-001	  3.95461E-001
  1.53600E-001	  3.85490E-001
  1.66400E-001	  3.72675E-001
  1.79200E-001	  3.58096E-001
  1.92000E-001	  3.51932E-001
  2.04800E-001	  3.40399E-001
  2.30400E-001	  3.18822E-001
  2.56000E-001	  2.96239E-001
  2.81600E-001	  2.80054E-001
  3.07200E-001	  2.63445E-001
  3.32800E-001	  2.50874E-001
  3.58400E-001	  2.35579E-001
  3.84000E-001	  2.23241E-001
  4.09600E-001	  2.10850E-001
  4.60800E-001	  1.88093E-001
  5.12000E-001	  1.63901E-001
  5.63200E-001	  1.45552E-001
  6.14400E-001	  1.31161E-001
  6.65600E-001	  1.16417E-001
  7.16800E-001	  1.01823E-001
  7.68000E-001	  9.33902E-002
  8.19200E-001	  8.31546E-002
  9.21600E-001	  6.81221E-002
  1.02400E+000	  5.59504E-002
  1.12640E+000	  4.59826E-002
  1.22880E+000	  3.79020E-002
  1.33120E+000	  3.05556E-002
  1.43360E+000	  2.25250E-002
  1.53600E+000	  1.75188E-002
  1.63840E+000	  1.27556E-002
  1.84320E+000	  8.47369E-003
  2.04800E+000	  3.67321E-003
  2.25280E+000	  2.57277E-003
  2.45760E+000	  2.03495E-003
  2.66240E+000	  3.41593E-003
  2.86720E+000	  4.98172E-003
  3.07200E+000	  4.95119E-003
  3.22560E+000	  3.70915E-003
  3.63520E+000	  5.65668E-003
  4.04480E+000	  3.08190E-003
  4.45440E+000	  2.07333E-004
  4.86400E+000	  5.97175E-004
  5.27360E+000	 -1.68639E-004
  5.68320E+000	 -3.46403E-003
  6.09280E+000	 -3.67291E-003
  6.50240E+000	 -2.06044E-003
  7.32160E+000	  1.92002E-004
  8.14080E+000	 -7.62615E-006
  8.96000E+000	  1.10068E-003
  9.77920E+000	  1.00529E-003
  1.05984E+001	 -2.00647E-004
  1.14176E+001	  4.32447E-004
  1.22368E+001	  2.42686E-004
  1.30560E+001	 -6.70138E-005
  1.46944E+001	 -4.40370E-004
  1.63328E+001	 -2.24380E-003
  1.79712E+001	 -2.51713E-003
  1.96096E+001	  1.60118E-003
  2.12480E+001	 -6.83021E-004
  2.28864E+001	 -7.00314E-004
  2.45248E+001	  2.89087E-003
  2.61632E+001	  1.56644E-003
  2.94400E+001	 -8.36538E-004
  3.27168E+001	  2.39354E-003
  3.59936E+001	 -6.77596E-004
  3.92704E+001	 -1.15871E-003
  4.25472E+001	  2.05989E-003
  4.58240E+001	 -5.52938E-005
  4.91008E+001	 -6.29490E-004
  5.23776E+001	  1.61013E-004
  5.89312E+001	 -6.53124E-004
  6.54848E+001	  1.73441E-003
  7.20384E+001	  8.37857E-004
  7.85920E+001	 -1.89253E-003
  8.51456E+001	 -5.26168E-004
  9.16992E+001	  9.38989E-004
  9.82528E+001	  3.92855E-004
  1.04806E+002	  5.76399E-004
  1.17914E+002	 -9.37028E-004
  1.31021E+002	 -1.51870E-003
  1.44128E+002	  1.79922E-003
  1.57235E+002	  1.03883E-003
  1.70342E+002	  1.21917E-003
  1.83450E+002	 -1.11839E-003
  1.96557E+002	 -4.14096E-004
  2.09664E+002	  6.46824E-004
  2.35878E+002	 -6.93761E-004
  2.62093E+002	  4.24706E-004
  2.88307E+002	 -1.02100E-003
  3.14522E+002	  1.17147E-003
  3.40736E+002	 -3.42823E-004
  3.66950E+002	  1.52325E-004
  3.93165E+002	  1.00949E-004
  4.19379E+002	 -1.05872E-004
  4.71808E+002	  4.11319E-004
  5.24237E+002	  3.92411E-004
  5.76666E+002	 -4.93085E-004
  6.29094E+002	  6.27914E-004
  6.81523E+002	  2.80799E-004
  7.33952E+002	  3.29876E-004
  7.86381E+002	 -1.33885E-005
  8.38810E+002	 -4.24932E-004
  9.43667E+002	 -4.42737E-004
  1.04852E+003	  2.33182E-004
  1.15338E+003	  1.83048E-004
  1.25824E+003	 -3.62792E-004
  1.36310E+003	 -1.32860E-004
  1.46796E+003	 -3.10340E-004
  1.57281E+003	 -1.76317E-005
  1.67767E+003	  1.19332E-004
  1.88739E+003	 -1.35137E-004
  2.09710E+003	 -1.16526E-004
  2.30682E+003	 -7.01771E-005
  2.51653E+003	 -4.18204E-005
  2.72625E+003	 -2.07424E-005
  2.93596E+003	 -7.07313E-006
  3.14568E+003	 -6.54337E-005
  3.35539E+003	 -1.06598E-004
  3.77482E+003	 -3.55577E-005
  4.19425E+003	 -1.44435E-004
  4.61368E+003	 -3.89107E-005
  5.03311E+003	 -6.33411E-005
  5.45254E+003	 -2.09118E-004
  5.87197E+003	 -1.49528E-004
  6.29140E+003	 -1.84972E-004

"Count Rate"
       0.11719	      35.12722
       0.23438	      33.49678
       0.35156	      33.42849
       0.46875	      36.96255
       0.58594	      37.59424
       0.70313	      36.02355
       0.82031	      34.84552
       0.93750	      36.85157
       1.05469	      36.04916
       1.17188	      38.46495
       1.28906	      38.08935
       1.40625	      33.47117
       1.52344	      31.21756
       1.64063	      31.02976
       1.75781	      34.02603
       1.87500	      31.84925
       1.99219	      32.96752
       2.10938	      33.16386
       2.22656	      30.74806
       2.34375	      30.02247
       2.46094	      30.80782
       2.57813	      32.61753
       2.69531	      31.00415
       2.81250	      33.25776
       2.92969	      37.26986
       3.04688	      34.04311
       3.16406	      34.17969
       3.28125	      31.69560
       3.39844	      34.58090
       3.51563	      33.76141
       3.63281	      33.41141
       3.75000	      33.40288
       3.86719	      35.74184
       3.98438	      33.71872
       4.10156	      30.52611
       4.21875	      31.65292
       4.33594	      33.65897
       4.45313	      36.04916
       4.57031	      37.15035
       4.68750	      33.18946
       4.80469	      32.56631
       4.92188	      34.87114
       5.03906	      33.41995
       5.15625	      36.05769
       5.27344	      35.10162
       5.39063	      32.17364
       5.50781	      31.56755
       5.62500	      30.27856
       5.74219	      30.04808
       5.85938	      30.41514
       5.97656	      35.58819
       6.09375	      36.84304
       6.21094	      31.65292
       6.32813	      33.17239
       6.44531	      34.59797
       6.56250	      36.09184
       6.67969	      31.74682
       6.79688	      36.97108
       6.91406	      31.76389
       7.03125	      37.95277
       7.14844	      30.32124
       7.26563	      32.22485
       7.38281	      34.98211
       7.50000	      34.85406
       7.61719	      34.21383
       7.73438	      32.37851
       7.85156	      32.53217
       7.96875	      32.65167
       8.08594	      37.81619
       8.20313	      36.63816
       8.32031	      33.31751
       8.43750	      32.68582
       8.55469	      32.20778
       8.67188	      36.42476
       8.78906	      35.60526
       8.90625	      34.90528
       9.02344	      33.35166
       9.14063	      35.35771
       9.25781	      34.59797
       9.37500	      30.73099
       9.49219	      34.68333
       9.60938	      31.85779
       9.72656	      34.46992
       9.84375	      34.60651
       9.96094	      30.83342
      10.07813	      32.77118
      10.19531	      31.06391
      10.31250	      33.24922
      10.42969	      32.24193
      10.54688	      37.05645
      10.66406	      25.64330
      10.78125	      34.78577
      10.89844	      33.87238
      11.01563	      33.98335
      11.13281	      34.19676
      11.25000	      34.20530
      11.36719	      30.47490
      11.48438	      34.99064
      11.60156	      34.88821
      11.71875	      32.10535
      11.83594	      32.79679
      11.95313	      34.25652
      12.07031	      36.55280
      12.18750	      33.14679
      12.30469	      30.18466
      12.42188	      31.32854
      12.53906	      32.20778
      12.65625	      36.26257
      12.77344	      34.46992
      12.89063	      31.61877
      13.00781	      32.09681
      13.12500	      38.10642
      13.24219	      33.59921
      13.35938	      32.66021
      13.47656	      32.72850
      13.59375	      29.79198
      13.71094	      31.26878
      13.82813	      32.40412
      13.94531	      30.20173
      14.06250	      30.75660
      14.17969	      34.48700
      14.29688	      31.64438
      14.41406	      35.11869
      14.53125	      30.30417
      14.64844	      35.22113
      14.76563	      29.26273
      14.88281	      35.35771
      15.00000	      33.30044
      15.11719	      34.35895
      15.23438	      35.54551
      15.35156	      31.08952
      15.46875	      34.55529
      15.58594	      34.92235
      15.70313	      37.35522
      15.82031	      34.52968
      15.93750	      33.01020
      16.05469	      31.39683
      16.17188	      34.96503
      16.28906	      31.95169
      16.40625	      33.30898
      16.52344	      32.27607
      16.64063	      35.93818
      16.75781	      34.23090
      16.87500	      36.26257
      16.99219	      33.74433
      17.10938	      33.47970
      17.22656	      36.10891
      17.34375	      32.66021
      17.46094	      33.83823
      17.57813	      32.30168
      17.69531	      37.82472
      17.81250	      34.05164
      17.92969	      34.45285
      18.04688	      34.74309
      18.16406	      37.68814
      18.28125	      31.53341
      18.39844	      35.15284
      18.51563	      38.41373
      18.63281	      32.61753
      18.75000	      36.77475
      18.86719	      36.18574
      18.98438	      28.96395
      19.10156	      29.72369
      19.21875	      34.61504
      19.33594	      32.04559
      19.45313	      32.52363
      19.57031	      36.68085
      19.68750	      34.50407
      19.80469	      32.25900
      19.92188	      34.23944
      20.03906	      30.91025
      20.15625	      34.13700
      20.27344	      31.59316
      20.39063	      35.19552
      20.50781	      30.97854
      20.62500	      34.60651
      20.74219	      29.73223
      20.85938	      38.41373
      20.97656	      31.39683
      21.09375	      32.36144
      21.21094	      33.05288
      21.32813	      40.31735
      21.44531	      33.47970
      21.56250	      35.53697
      21.67969	      29.47614
      21.79688	      29.64687
      21.91406	      32.50655
      22.03125	      33.17239
      22.14844	      35.09308
      22.26563	      34.78577
      22.38281	      32.80533
      22.50000	      31.90047
      22.61719	      32.73704
      22.73438	      36.20281
      22.85156	      32.79679
      22.96875	      34.27359
      23.08594	      32.91630
      23.20313	      34.99064
      23.32031	      33.51385
      23.43750	      33.78701
      23.55469	      31.69560
      23.67188	      29.62126
      23.78906	      33.18093
      23.90625	      33.86384
      24.02344	      33.07850
      24.14063	      31.69560
      24.25781	      33.23215
      24.37500	      33.29190
      24.49219	      35.96379
      24.60938	      31.26878
      24.72656	      33.71872
      24.84375	      35.94672
      24.96094	      34.21383
      25.07813	      33.19800
      25.19531	      30.71391
      25.31250	      32.85655
      25.42969	      37.12474
      25.54688	      30.63709
      25.66406	      31.36268
      25.78125	      33.02728
      25.89844	      33.71872
      26.01563	      40.57344
      26.13281	      34.87967
      26.25000	      32.48095
      26.36719	      33.33458
      26.48438	      31.08952
      26.60156	      35.24673
      26.71875	      35.56258
      26.83594	      29.51028
      26.95313	      32.57485
      27.07031	      34.23944
      27.18750	      37.12474
      27.30469	      34.95650
      27.42188	      32.83947
      27.53906	      37.35522
      27.65625	      31.65292
      27.77344	      31.82364
      27.89063	      32.36144
      28.00781	      33.45409
      28.12500	      30.72245
      28.24219	      30.08222
      28.35938	      35.39185
      28.47656	      32.99313
      28.59375	      31.33707
      28.71094	      35.57965
      28.82813	      32.75411
      28.94531	      32.90776
      29.06250	      34.44432
      29.17969	      27.03473
      29.29688	      33.80408
      29.41406	      32.07973
      29.53125	      33.35166
      29.64844	      37.09913
      29.76563	      33.12117
      29.88281	      32.41265
