0,000	-0,720
45,000	-0,760
90,000	-0,730
135,000	-0,610
180,000	-0,690
225,000	-0,720
270,000	-0,700
315,000	-0,710
360,000	-0,660
405,000	-0,700
450,000	-0,650
495,000	-0,780
540,000	-0,770
585,000	-0,630
630,000	-0,660
675,000	-0,700
720,000	-0,550
765,000	-0,440
810,000	-0,580
855,000	-0,460
900,000	-0,420
945,000	-0,320
990,000	-0,440
1035,000	-0,390
1080,000	-0,260
1125,000	-0,280
1170,000	-0,300
1215,000	-0,290
1260,000	-0,330
1305,000	-0,270
1350,000	-0,310
1395,000	-0,110
1440,000	0,000
1485,000	-0,020
1530,000	0,090
1575,000	-0,050
1620,000	0,040
1665,000	0,000
1710,000	0,110
1755,000	0,230
1800,000	0,240
1845,000	0,270
1890,000	0,400
1935,000	0,300
1980,000	0,340
2025,000	0,420
2070,000	0,430
2115,000	0,340
2160,000	0,360
2205,000	0,490
2250,000	0,560
2295,000	0,640
2340,000	0,570
2385,000	0,560
2430,000	0,720
2475,000	0,760
2520,000	0,810
2565,000	0,690
2610,000	0,760
2655,000	0,980
2700,000	1,040
2745,000	1,170
2790,000	1,220
2835,000	1,340
2880,000	1,510
2925,000	1,430
2970,000	1,450
3015,000	1,270
3060,000	1,300
3105,000	1,250
3150,000	1,200
3195,000	1,230
3240,000	1,230
3285,000	1,180
3330,000	1,240
3375,000	1,300
3420,000	1,180
3465,000	1,230
3510,000	1,160
3555,000	1,270
3600,000	1,300
3645,000	1,490
3690,000	1,490
3735,000	1,490
3780,000	1,540
3825,000	1,610
3870,000	1,570
3915,000	1,590
3960,000	1,660
4005,000	1,790
4050,000	1,740
4095,000	1,690
4140,000	1,880
4185,000	1,900
4230,000	1,930
4275,000	2,000
4320,000	2,040
4365,000	2,110
4410,000	2,180
4455,000	2,290
4500,000	2,390
4545,000	2,340
4590,000	2,380
4635,000	2,440
4680,000	2,410
4725,000	2,520
4770,000	2,530
4815,000	2,680
4860,000	2,590
4905,000	2,760
4950,000	2,720
4995,000	2,810
5040,000	2,990
5085,000	2,870
5130,000	2,840
5175,000	3,020
5220,000	2,960
5265,000	2,970
5310,000	3,020
5355,000	3,010
5400,000	3,030
5445,000	3,190
5490,000	3,280
5535,000	3,350
5580,000	3,400
5625,000	3,290
5670,000	3,310
5715,000	3,440
5760,000	3,430
5805,000	3,480
5850,000	3,470
5895,000	3,560
5940,000	3,530
5985,000	3,570
6030,000	3,810
6075,000	3,770
6120,000	3,770
6165,000	3,790
6210,000	3,630
6255,000	3,720
6300,000	3,740
6345,000	3,940
6390,000	3,850
6435,000	3,810
6480,000	3,830
6525,000	3,850
6570,000	3,830
6615,000	3,880
6660,000	3,570
6705,000	3,410
6750,000	3,260
6795,000	3,010
6840,000	2,870
6885,000	2,770
6930,000	2,600
6975,000	2,560
7020,000	2,550
7065,000	2,510
7110,000	2,570
7155,000	2,940
7200,000	3,030
7245,000	3,080
7290,000	2,870
7335,000	2,540
7380,000	2,300
7425,000	2,210
7470,000	2,540
7515,000	2,850
7560,000	2,720
7605,000	2,890
7650,000	2,710
7695,000	2,820
7740,000	2,810
7785,000	2,820
7830,000	2,690
7875,000	2,750
7920,000	2,870
7965,000	3,030
8010,000	3,080
8055,000	3,230
8100,000	3,360
8145,000	3,380
8190,000	3,330
8235,000	3,670
8280,000	3,550
8325,000	3,610
8370,000	3,710
8415,000	3,680
8460,000	3,690
8505,000	3,770
8550,000	3,760
8595,000	3,720
8640,000	3,490
8685,000	3,530
8730,000	3,490
8775,000	3,440
8820,000	3,290
8865,000	3,120
8910,000	2,880
8955,000	2,540
9000,000	2,450
9045,000	2,430
9090,000	2,600
9135,000	2,660
9180,000	3,040
9225,000	3,360
9270,000	3,810
9315,000	3,970
9360,000	4,130
9405,000	4,410
9450,000	4,730
9495,000	4,740
9540,000	5,010
9585,000	5,070
9630,000	5,190
9675,000	5,250
9720,000	5,450
9765,000	5,560
9810,000	5,660
9855,000	5,730
9900,000	5,630
9945,000	5,670
9990,000	5,690
10035,000	6,000
10080,000	5,970
10125,000	6,030
10170,000	6,060
10215,000	6,080
10260,000	6,090
10305,000	6,010
10350,000	6,060
10395,000	6,050
10440,000	5,990
10485,000	6,110
10530,000	6,200
10575,000	6,190
10620,000	6,170
10665,000	6,110
10710,000	6,200
10755,000	6,180
10800,000	6,090
10845,000	6,030
10890,000	6,210
10935,000	6,070
10980,000	6,090
11025,000	6,070
11070,000	5,980
11115,000	5,830
11160,000	5,150
11205,000	5,240
11250,000	5,100
11295,000	5,210
11340,000	5,290
11385,000	5,440
11430,000	5,470
11475,000	5,540
11520,000	5,570
11565,000	5,560
11610,000	5,600
11655,000	5,740
11700,000	5,590
11745,000	5,590
11790,000	5,550
11835,000	5,630
11880,000	5,760
11925,000	5,740
11970,000	5,610
12015,000	5,860
12060,000	5,860
12105,000	5,880
12150,000	5,850
12195,000	5,740
12240,000	5,830
12285,000	5,800
12330,000	5,760
12375,000	5,750
12420,000	5,760
12465,000	5,760
12510,000	5,750
12555,000	5,630
12600,000	5,570
12645,000	5,620
12690,000	5,580
12735,000	5,420
12780,000	5,610
12825,000	5,470
12870,000	5,480
12915,000	5,380
12960,000	5,190
13005,000	5,300
13050,000	5,330
13095,000	5,390
13140,000	5,290
13185,000	5,300
13230,000	5,140
13275,000	5,170
13320,000	5,080
13365,000	5,080
13410,000	5,170
13455,000	5,160
13500,000	4,970
13545,000	5,040
13590,000	5,060
13635,000	4,910
13680,000	4,970
13725,000	4,930
13770,000	4,770
13815,000	4,890
13860,000	4,730
