ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"12:13:44"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      21.05791
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  6.26044E-001
  4.00000E-004	  5.91096E-001
  6.00000E-004	  5.80727E-001
  8.00000E-004	  5.20816E-001
  1.00000E-003	  5.59220E-001
  1.20000E-003	  5.57684E-001
  1.40000E-003	  5.31953E-001
  1.60000E-003	  5.05070E-001
  1.80000E-003	  5.27729E-001
  2.00000E-003	  5.23888E-001
  2.20000E-003	  5.15823E-001
  2.40000E-003	  5.51923E-001
  2.60000E-003	  5.33489E-001
  2.80000E-003	  5.50771E-001
  3.00000E-003	  4.98925E-001
  3.20000E-003	  5.04878E-001
  3.60000E-003	  5.05262E-001
  4.00000E-003	  5.12559E-001
  4.40000E-003	  4.86060E-001
  4.80000E-003	  5.14671E-001
  5.20000E-003	  5.36562E-001
  5.60000E-003	  5.04878E-001
  6.00000E-003	  5.07182E-001
  6.40000E-003	  4.93174E-001
  7.20000E-003	  5.12953E-001
  8.00000E-003	  5.07576E-001
  8.80000E-003	  4.91158E-001
  9.60000E-003	  4.99127E-001
  1.04000E-002	  5.01047E-001
  1.12000E-002	  4.91926E-001
  1.20000E-002	  4.77044E-001
  1.28000E-002	  4.92889E-001
  1.44000E-002	  5.00090E-001
  1.60000E-002	  4.69270E-001
  1.76000E-002	  4.71622E-001
  1.92000E-002	  4.63365E-001
  2.08000E-002	  4.64613E-001
  2.24000E-002	  4.47955E-001
  2.40000E-002	  4.66533E-001
  2.56000E-002	  4.43419E-001
  2.88000E-002	  4.36915E-001
  3.20000E-002	  4.29186E-001
  3.52000E-002	  4.16704E-001
  3.84000E-002	  4.21673E-001
  4.16000E-002	  3.85309E-001
  4.48000E-002	  3.87493E-001
  4.80000E-002	  3.71435E-001
  5.12000E-002	  3.68252E-001
  5.76000E-002	  3.64928E-001
  6.40000E-002	  3.44417E-001
  7.04000E-002	  3.31744E-001
  7.68000E-002	  3.14246E-001
  8.32000E-002	  3.18278E-001
  8.96000E-002	  2.96196E-001
  9.60000E-002	  2.76588E-001
  1.02400E-001	  2.68423E-001
  1.15200E-001	  2.46124E-001
  1.28000E-001	  2.24932E-001
  1.40800E-001	  2.08051E-001
